证券代码,证券名称,交易类型,交易时间,成交股数,成交价格,成交编号,交易费用
600580,600580,买入,14:51:26,100,8.37,98190865,0.17
300274,300274,卖出,14:50:05,300,17.80,-1076661308,6.30
488,000488,买入,14:50:04,600,17.86,-1076662238,1.93
627,000627,买入,14:50:04,300,8.07,-1076662157,0.44
2273,002273,卖出,14:50:04,200,21.52,-1804491691,5.08
2500,002500,卖出,14:50:04,200,7.70,-1804491625,1.82
600611,600611,买入,14:50:04,900,4.94,98129263,0.89
601939,601939,卖出,14:50:04,500,8.10,98129317,4.86
300297,300297,买入,14:50:04,100,9.77,-1804491172,0.18
712,000712,买入,14:50:03,100,14.88,-349614401,0.27
830,000830,买入,14:50:03,200,17.85,-349614277,0.64
69,000069,卖出,14:50:03,500,8.47,-1076662351,5.00
600056,600056,买入,14:50:02,400,24.34,98127352,1.95
601012,601012,买入,14:50:02,100,34.74,98127423,0.69
600885,600885,买入,14:50:02,100,46.47,98127420,0.93
600580,600580,买入,14:43:00,500,8.39,97847420,0.84
712,000712,卖出,14:40:15,100,14.86,-350096663,1.75
488,000488,卖出,14:27:04,100,17.86,-1077763449,2.11
488,000488,卖出,14:27:04,500,17.86,-1077763447,10.54
488,000488,买入,14:24:30,600,17.79,-1077900598,1.92
830,000830,卖出,14:21:39,200,18.02,-350938701,4.25
830,000830,卖出,14:21:27,200,17.99,-350946484,4.25
830,000830,买入,14:21:00,200,17.92,-350963281,0.65
830,000830,买入,14:20:54,200,17.91,-350966874,0.64
600580,600580,卖出,14:13:39,500,8.44,96878942,5.06
488,000488,卖出,14:12:24,500,17.80,-1078386170,10.50
712,000712,买入,14:10:18,100,14.90,-351393266,0.27
2500,002500,买入,14:00:07,200,7.75,-1806693688,0.28
2500,002500,买入,14:00:04,200,7.75,-1806695980,0.28
600183,600183,卖出,13:58:45,200,16.80,96401586,4.03
600580,600580,卖出,13:57:33,600,8.44,96372399,6.08
2500,002500,卖出,13:53:00,200,7.73,-1806951847,1.82
2500,002500,卖出,13:52:49,200,7.74,-1806960058,1.83
488,000488,卖出,13:52:48,600,17.73,-1079251684,12.55
600056,600056,卖出,13:48:59,400,24.16,96122052,11.60
600056,600056,卖出,13:44:56,400,24.20,95994463,11.62
600155,600155,卖出,13:43:10,500,9.71,95939491,5.83
712,000712,卖出,13:35:18,100,14.89,-352803864,1.76
712,000712,卖出,13:35:15,100,14.89,-352805983,1.76
488,000488,卖出,13:33:57,100,17.67,-1080079387,2.09
600183,600183,买入,13:33:09,400,16.70,95651833,1.34
600885,600885,卖出,13:32:46,100,45.84,95639237,5.50
600885,600885,买入,13:30:46,100,45.72,95573694,0.91
69,000069,买入,13:29:57,1000,8.37,-1080262710,1.51
69,000069,卖出,13:29:34,1000,8.37,-1080277987,9.88
